Tweets,Sentiment,Word_count,Stop_word_count,Char_count,Punctuation_count,Mention_count,Hashtag_count,Avrg_word_len
sound like great night,1,6,1,44,2,1,0,6.333333333333333
damn person steal wallet parma come bite ass,1,18,8,92,9,0,0,4.055555555555555
piano photo,1,7,2,64,7,0,0,8.142857142857142
love love hata forget hug kiss lie awesome,1,25,14,135,13,1,0,4.4
pretty pretty pretty smother site like mediafire hind work skin,0,18,1,131,4,1,0,6.277777777777778
upset,0,3,0,34,5,0,0,10.333333333333334
big pool waddle pool able manage pool luxury,1,25,12,138,6,1,0,4.52
sweet,1,9,1,63,11,1,0,5.555555555555555
happy ticket concert,1,8,5,42,0,0,0,4.25
mile look soon like soon lay,1,15,2,105,12,1,0,6.0
bed early,0,1,0,22,5,0,0,21.0
shah come find hole,1,11,3,83,14,0,0,6.454545454545454
oh sound miss cable,0,9,4,40,2,0,0,3.4444444444444446
felt,1,3,1,19,0,0,0,5.333333333333333
good,0,5,2,24,3,0,0,3.8
k finally hammond sweet yahooooooooo peace harmony,1,16,8,93,1,0,0,4.8125
allow live parent cost suck,0,21,11,100,4,1,0,3.761904761904762
suck sad know love talk suck,0,19,5,87,5,1,0,3.5789473684210527
favourite silver hook stock right,0,16,8,96,5,0,0,5.0
finally leave hell car sound awful ugh,0,7,1,48,4,0,0,5.857142857142857
realise spend clothe today,0,8,1,50,1,0,0,5.25
singe russie coal marcopalli com,1,9,3,79,7,0,0,7.777777777777778
run battery long plan soon dark,0,24,11,124,8,1,0,4.166666666666667
nice meeting,1,8,4,44,1,1,0,4.5
leave work minute,0,7,4,32,0,0,0,3.5714285714285716
kid scotland north sea catch hack head cry time,0,26,12,138,4,1,0,4.3076923076923075
work eat leftover chinese,1,12,5,64,1,0,0,4.333333333333333
bad happen tar excited sorry,0,25,17,107,3,1,0,3.28
ready fun day lay sun new schedule kick sunday,1,20,10,97,0,0,0,3.8
paget,1,6,2,35,1,1,0,4.833333333333333
pack home,1,7,3,42,7,0,0,5.0
hope scream co burn beach yesterday x,0,20,8,115,4,2,0,4.75
hi al near lake george ny frost night cover flower verge plant june frost happen,1,23,1,140,13,1,0,5.086956521739131
summer ball amazing feel like death sit bed cuba watch office,1,16,5,96,1,0,0,5.0
u look like hot table,1,7,1,42,1,1,0,4.857142857142857
ah,0,3,0,19,1,1,0,5.333333333333333
agree epi oh hear suicide thing sad hang ga eut tender,1,24,6,136,11,1,0,4.666666666666667
exhausted feel sick anymore,0,10,2,50,0,0,0,4.0
london amazing city,1,15,9,78,2,1,0,4.2
hata yea di official wesel axis p,0,10,0,56,2,1,0,4.5
leave bump new sarah white sound fly don muco y ms black goodluck en expand,1,19,2,107,6,0,0,4.631578947368421
agree embarrassing compare swedes look like bear,0,19,8,136,3,1,0,6.157894736842105
watch iv drink wine,1,10,4,43,0,0,0,3.3
buy bullet hat today think look douched feel like,0,24,13,133,2,1,0,4.5
urge play game hour computer decide need start chance save,0,24,13,126,3,0,0,4.25
miss retail store lot work like kid love quit shop girl quit,1,25,9,140,9,1,0,4.6
miss vodka chinese food,0,9,2,65,8,1,0,6.222222222222222
chip milk,0,6,3,33,1,0,0,4.5
hata,1,4,2,19,0,0,0,3.75
read day,1,4,1,20,2,0,0,4.0
sound good solution heh,1,6,1,38,2,1,0,5.333333333333333
hey,1,2,0,10,2,0,0,4.0
hope great tonight sure feel like haven perform live access,0,23,7,127,5,1,0,4.521739130434782
photo facebook space later,1,8,0,70,11,0,0,7.625
poor little girl cold need sleep,0,12,3,56,5,0,0,3.6666666666666665
meet new good friend,1,6,1,49,5,0,0,7.166666666666667
yeah jane un eye candy sure,1,16,5,89,8,1,0,4.5625
watch think dance,1,13,4,71,3,0,0,4.461538461538462
sleep sad tomorrow sport,0,9,3,54,0,0,0,5.0
chesterfield main road way houston main gate left use,1,21,8,117,6,1,0,4.571428571428571
suck think franchise type business,0,15,4,109,8,1,0,6.133333333333334
join like webster couldn find add friend,0,18,8,109,8,2,0,5.055555555555555
count,0,3,0,23,2,1,0,6.666666666666667
week copy r r oh wait loop nevermind billboard,0,13,4,82,11,0,0,5.3076923076923075
,1,4,0,25,2,1,0,5.25
goodnight lodger game burn wallet,1,11,5,62,3,0,0,4.636363636363637
