Tweets,Sentiment,Word_count,Stop_word_count,Char_count,Punctuation_count,Mention_count,Hashtag_count,Avrg_word_len
robbiebronniman sounds like a great night,1,6,1,44,2,1,0,6.333333333333333
damn the person who my wallet may karma come back and bite you in the ass,1,18,8,92,9,0,0,4.055555555555555
greetings from the piano photo httptwitpiccomoei,1,7,2,64,7,0,0,8.142857142857142
drewryanscott i love it i love you haha forget a hugyou should give me a kissno lie please it would be awesome if you did,1,25,14,135,13,1,0,4.4
kissthestars pretty pretty pretty please then reupload site like mediafire hindi ang skin,0,18,1,131,4,1,0,6.277777777777778
really upset httpmylocmext,0,3,0,34,5,0,0,10.333333333333334
lilyroseallen big pool or paddling pool might be able to manage a pool in my but thats as luxury as it will get,1,25,12,138,6,1,0,4.52
ariannaskye hee i did tweet and youre lol,1,9,1,63,11,1,0,5.555555555555555
is happy to have tickets for the concerts,1,8,5,42,0,0,0,4.25
mileycyrus httptwitpiccomurd miley u look soooo much better like this its soooo laid back,1,15,2,105,12,1,0,6.0
mustgotobedearly,0,1,0,22,5,0,0,21.0
shhhhquitely nowcome see i found a hole in the httpbitlyspmo,1,11,3,83,14,0,0,6.454545454545454
uh oh the sound is messed up on cable,0,9,4,40,2,0,0,3.4444444444444446
the fests on,1,3,1,19,0,0,0,5.333333333333333
what im not the best,0,5,2,24,3,0,0,3.8
k finally made to the hammock and this is the tweet yahooooooooo peace and harmony,1,16,8,93,1,0,0,4.8125
mitchelmusso not allowed to call as i live in the uk my parents say it will cost to much sucks,0,21,11,100,4,1,0,3.761904761904762
sandysaikman i do it sucks makes me sad and u know how i love to talk so it sucks,0,19,5,87,5,1,0,3.5789473684210527
my favourite is silver hook which is very nutty but out of stock right now httpbitlymgqtv,0,16,8,96,5,0,0,5.0
finally leaving hell my car sounds awfulugh,0,7,1,48,4,0,0,5.857142857142857
just realised ive spent on clothes today,0,8,1,50,1,0,0,5.25
singing a with an aussie koala wwwmarcopallicom httptwitpiccomslg,1,9,3,79,7,0,0,7.777777777777778
mahafreed im running out of battery now wont last for long anyway im planning to get out soon and get more daru,0,24,11,124,8,1,0,4.166666666666667
zidman it was really nice meeting you too,1,8,4,44,1,1,0,4.5
is leaving for work in a minute,0,7,4,32,0,0,0,3.5714285714285716
truejerseygirl i went as a kid in scotland on the north sea they were catching and them on the head cried the whole time,0,26,12,138,4,1,0,4.3076923076923075
back at work but must eat first leftover chinese is calling me,1,12,5,64,1,0,0,4.333333333333333
riguy that is so bad thats what happend to tara i was so so excited and then it was a no go im so sorry,0,25,17,107,3,1,0,3.28
is getting ready for a fun day of laying out in the sun before the new schedule kicks in sunday,1,20,10,97,0,0,0,3.8
edmercer very well said by piaget,1,6,2,35,1,1,0,4.833333333333333
im packing to go home to bostonyay,1,7,3,42,7,0,0,5.0
jamesbuckley i hope got your suncream on coz me and amandacrook got very burnt at the beach yesterday x,0,20,8,115,4,2,0,4.75
